Theme,Topic,Origin,Reverse,Questions,Target,Flattened Target,Thai,
,,M,FALSE,Uses mentoring relationships effectively.,,Mid-level/Senior Managers,ใช้ประโยชน์จากการปรึกษาพี่เลี้ยงได้อย่างเต็มที่และมีประสิทธิภาพ,
,,M,FALSE,Actively seeks opportunities to develop professional relationships with others.,,Mid-level/Senior Managers,ขวนขวายหาโอกาสในการสร้างเครือข่ายความสัมพันธ์ทางวิชาชีพกับผู้อื่น,
,,M,FALSE,Responds effectively to constructive criticism from others.,,Mid-level/Senior Managers,รับฟังและจัดการกับคำติชมได้อย่างดี,
Open-ended,,E,FALSE,What are this person's most significant strengths as a leader?,,Both (TBC),จุดแข็งที่โดดเด่นที่สุดของบุคคลนี้ในฐานะผู้นำคืออะไร?,
,,E,FALSE,What are this person's most significant development needs as a leader?,,Both (TBC),สิ่งที่บุคคลนี้ควรพัฒนามากที่สุดในฐานะผู้นำคืออะไร?,
,,E,FALSE,In what ways could this person do more to develop other leaders in the organization?,,Executive,บุคคลนี้สามารถทำอะไรเพิ่มเติมได้อีกบ้าง เพื่อช่วยพัฒนาผู้นำคนอื่น ๆ ในองค์กร?,
,,E,FALSE,What is one thing that this person could do to increase his/her impact as a leader?,,Executive,สิ่งหนึ่งที่บุคคลนี้ทำแล้วจะช่วยเพิ่มผลกระทบเชิงบวก (Impact) ในฐานะผู้นำได้มากที่สุดคืออะไร?,
Edmondson - Team,,,,,,,,
Psychological Safety,,R,TRUE,ถ้าฉันทำผิดพลาด ฉันมักถูกตำหนิ,Both (Peer or Lower: Target teams that are in their control),Both (Peer or Lower: Target teams that are in their control),,
,,R,FALSE,สมาชิกในทีมพูดคุยกันเรื่องปัญหาหรือประเด็นหนักหน่วงได้,,Both (Peer or Lower: Target teams that are in their control),,
,,R,TRUE,บางครั้งคนในทีมก็ปฏิเสธคนคิดต่าง,,Both (Peer or Lower: Target teams that are in their control),,
,,R,FALSE,ฉันรู้สึกปลอดภัยและกล้าเสี่ยงเมื่ออยู่ในทีมนี้,,Both (Peer or Lower: Target teams that are in their control),,
,,R,TRUE,การขอความช่วยเหลือจากสมาชิกในทีมเป็นเรื่องยาก,,Both (Peer or Lower: Target teams that are in their control),,
,,R,FALSE,ไม่มีใครในทีมจงใจทำสิ่งที่ขัดขวางความพยายามของคุณ,,Both (Peer or Lower: Target teams that are in their control),,
,,R,FALSE,คุณได้นำทักษะและพรสวรรค์เฉพาะตัวมาใช้และคนในทีมเห็นคุณค่า,,Both (Peer or Lower: Target teams that are in their control),,
Dependability,,G,FALSE,เมื่อเพื่อนร่วมทีมบอกว่าจะทำอะไร พวกเขาทำจริงตามที่พูดไว้,,Both (Peer or Lower: Target teams that are in their control),,
,,G,FALSE,สมาชิกในทีมส่งมอบงานที่มีคุณภาพตรงเวลาอย่างสม่ำเสมอ,,Both (Peer or Lower: Target teams that are in their control),,
Clarity,,G,FALSE,ฉันเข้าใจบทบาท หน้าที่ ความรับผิดชอบ ของตัวเองอย่างชัดเจน,,Both (Peer or Lower: Target teams that are in their control),,
,,G,FALSE,ฉันรู้ว่าทีมมีเป้าหมายอะไร และรู้ว่าต้องทำอย่างไรถึงจะไปถึงเป้า,,Both (Peer or Lower: Target teams that are in their control),,
,,G,FALSE,ทีมมีกระบวนการตัดสินใจที่ชัดเจนและมีประสิทธิภาพ,,Both (Peer or Lower: Target teams that are in their control),,
Meaning,,G,FALSE,งานที่ทำอยู่ช่วยเติมเต็มความรู้สึก ทั้งในมุมของชีวิตส่วนตัวและความก้าวหน้าในอาชีพ,,Both (Peer or Lower: Target teams that are in their control),,
,,G,FALSE,งานที่ได้รับมอบหมายสอดคล้องกับความถนัดและความสนใจของฉัน,,Both (Peer or Lower: Target teams that are in their control),,
,,G,FALSE,เมื่อทำงานสำเร็จหรือมีความคืบหน้า ฉันมักได้รับคำชมหรือการยอมรับจากทีม,,Both (Peer or Lower: Target teams that are in their control),,
Impact,,G,FALSE,ฉันเข้าใจว่างานของทีมช่วยให้องค์กรบรรลุเป้าหมายได้อย่างไร,,Both (Peer or Lower: Target teams that are in their control),,
,,G,FALSE,ฉันมองเห็นได้ชัดว่างานที่ทำอยู่กำลังสร้างการเปลี่ยนแปลงในทางที่ดีขึ้น,,Both (Peer or Lower: Target teams that are in their control),,
,,G,FALSE,รูปแบบการทำงานของทีมปัจจุบัน เอื้อต่อสุขภาพใจที่ดีและไม่ทำให้รู้สึกหมดไฟ,,Both (Peer or Lower: Target teams that are in their control),,
,,,,,,,,
Level,No. Questions,Time Est. (min),,,,,,
Executive,112,18.7,,,,,,
Mid-level/Senior Managers,109,18.2,,,,,,
